student_id,first_name,last_name,email,date_of_birth,phone,address,faculty,major,year_of_study,enrollment_date,status,campus
UJ2024017,Dineo,Wood,dineo.wood@student.uj.ac.za,2002-03-21,2795367692,"969 Street, APB Campus",FCBE,Accounting,1,2023-06-18,ACTIVE,APB
UJ2024018,Faith,Mitchell,faith.mitchell@student.uj.ac.za,2003-08-02,2714688779,"756 Street, DFC Campus",FMS,Medical Science,1,2020-05-11,ACTIVE,DFC
UJ2024019,Wandile,Watson,wandile.watson@student.uj.ac.za,2005-04-13,2765855543,"170 Street, SWC Campus",FLM,Legal Studies,4,2020-04-16,ACTIVE,SWC
UJ2024020,Lungile,Young,lungile.young@student.uj.ac.za,2004-05-12,2733745830,"470 Street, SWC Campus",FADA,Urban Planning,1,2021-03-28,SUSPENDED,SWC
UJ2024021,Amahle,Jones,amahle.jones@student.uj.ac.za,2002-12-06,2760409666,"468 Street, APB Campus",FHES,Physiotherapy,3,2021-09-13,ACTIVE,APB
UJ2024022,Bhekumuzi,Thompson,bhekumuzi.thompson@student.uj.ac.za,2005-06-08,2710780738,"990 Street, APB Campus",FADA,Interior Design,2,2023-06-17,ACTIVE,APB
UJ2024023,Tshepo,Perez,tshepo.perez@student.uj.ac.za,2000-07-13,2740835005,"718 Street, SWC Campus",FMS,Biochemistry,2,2021-04-13,ACTIVE,SWC
UJ2024024,Nompumelelo,Washington,nompumelelo.washington@student.uj.ac.za,2002-02-15,2712399852,"246 Street, DFC Campus",FEBE,Chemical Engineering,4,2023-10-21,ACTIVE,DFC
UJ2024025,Catherine,Nelson,catherine.nelson@student.uj.ac.za,2003-06-06,2779179750,"583 Street, APK Campus",FHES,Physiotherapy,2,2021-10-03,ACTIVE,APK
UJ2024026,Bhekumuzi,Torres,bhekumuzi.torres@student.uj.ac.za,1999-11-05,2739885477,"324 Street, DFC Campus",FEDU,Special Needs Education,2,2023-05-04,ACTIVE,DFC
UJ2024027,Ulandi,Gray,ulandi.gray@student.uj.ac.za,2006-01-10,2718245293,"194 Street, DFC Campus",FNS,Health Administration,2,2022-02-16,ACTIVE,DFC
UJ2024028,Welcome,Jenkins,welcome.jenkins@student.uj.ac.za,2006-06-24,2726561305,"457 Street, APK Campus",FNS,Public Health,2,2021-02-03,ACTIVE,APK
UJ2024029,Pulane,Ramirez,pulane.ramirez@student.uj.ac.za,2001-12-06,2724367981,"469 Street, SWC Campus",FHES,Medical Science,4,2022-01-07,GRADUATED,SWC
UJ2024030,Tumelo,Carter,tumelo.carter@student.uj.ac.za,2003-06-05,2762946030,"892 Street, DFC Campus",FMS,Microbiology,3,2021-11-21,ACTIVE,DFC
UJ2024031,Sipho,Mitchell,sipho.mitchell@student.uj.ac.za,2000-07-07,2712395390,"870 Street, SWC Campus",FADA,Architecture,3,2022-02-13,ACTIVE,SWC
UJ2024032,Xavier,Lewis,xavier.lewis@student.uj.ac.za,2001-02-03,2788173448,"203 Street, SWC Campus",FEBE,Electrical Engineering,2,2022-02-06,ACTIVE,SWC
UJ2024033,Enoch,Allen,enoch.allen@student.uj.ac.za,2006-06-28,2764696627,"766 Street, APK Campus",FADA,Interior Design,2,2021-04-19,ACTIVE,APK
UJ2024034,Yvonne,Flores,yvonne.flores@student.uj.ac.za,2005-10-05,2736729737,"560 Street, SWC Campus",FCBE,Accounting,2,2021-09-07,ACTIVE,SWC
UJ2024035,Gugu,Watson,gugu.watson@student.uj.ac.za,1999-08-25,2728517411,"648 Street, DFC Campus",FHSS,Psychology,2,2022-03-12,ACTIVE,DFC
UJ2024036,Leroy,Gonzales,leroy.gonzales@student.uj.ac.za,2003-10-06,2743609741,"952 Street, APK Campus",FLM,Legal Studies,2,2022-04-26,SUSPENDED,APK
UJ2024037,Michael,Garcia,michael.garcia@student.uj.ac.za,2000-06-02,2768090027,"266 Street, APK Campus",FMS,Medical Science,1,2022-02-01,ACTIVE,APK
UJ2024038,Fumani,Barnes,fumani.barnes@student.uj.ac.za,2002-02-08,2796430149,"729 Street, DFC Campus",FLM,Criminology,4,2021-03-02,ACTIVE,DFC
UJ2024039,Thomas,Lopez,thomas.lopez@student.uj.ac.za,2004-10-04,2767420575,"81 Street, APK Campus",FEDU,Special Needs Education,2,2021-11-16,ACTIVE,APK
UJ2024040,Ursula,Morgan,ursula.morgan@student.uj.ac.za,2000-01-12,2718006341,"774 Street, APK Campus",FEDU,Special Needs Education,1,2021-02-04,ACTIVE,APK
UJ2024041,Hlompho,Brown,hlompho.brown@student.uj.ac.za,2004-07-05,2755569698,"986 Street, APK Campus",FLM,Criminology,3,2021-03-01,ACTIVE,APK
UJ2024042,Hlompho,Bailey,hlompho.bailey@student.uj.ac.za,2001-03-16,2757234314,"280 Street, DFC Campus",FMS,Biochemistry,4,2022-10-10,GRADUATED,DFC
UJ2024043,Anele,Coleman,anele.coleman@student.uj.ac.za,2002-07-06,2710018667,"696 Street, APB Campus",FEBE,Civil Engineering,4,2021-05-08,GRADUATED,APB
UJ2024044,Yvonne,Carter,yvonne.carter@student.uj.ac.za,2003-09-01,2784112030,"836 Street, SWC Campus",FNS,Nursing,3,2022-11-24,ACTIVE,SWC
UJ2024045,Sibusiso,Washington,sibusiso.washington@student.uj.ac.za,2002-05-23,2798935773,"745 Street, APK Campus",FHSS,Social Work,4,2021-09-19,ACTIVE,APK
UJ2024046,Qinisela,Harris,qinisela.harris@student.uj.ac.za,1999-12-17,2739021184,"781 Street, SWC Campus",FNS,Public Health,4,2021-07-23,ACTIVE,SWC
UJ2024047,Mpho,Rogers,mpho.rogers@student.uj.ac.za,2003-08-25,2744343180,"432 Street, APB Campus",FCBE,Economics,2,2020-10-07,SUSPENDED,APB
UJ2024048,Vusumuzi,Gonzales,vusumuzi.gonzales@student.uj.ac.za,1999-12-24,2759916170,"415 Street, APK Campus",FNS,Health Administration,1,2023-02-07,ACTIVE,APK
UJ2024049,Zukisa,Lopez,zukisa.lopez@student.uj.ac.za,2003-07-07,2724174743,"9 Street, APB Campus",FEBE,Computer Engineering,1,2020-10-19,ACTIVE,APB
UJ2024050,Xola,Morgan,xola.morgan@student.uj.ac.za,2001-02-10,2767012211,"566 Street, APB Campus",FCBE,Economics,3,2020-12-04,ACTIVE,APB
UJ2024051,Kabo,Flores,kabo.flores@student.uj.ac.za,1999-12-13,2773215208,"701 Street, APK Campus",FLM,Criminology,1,2022-11-08,ACTIVE,APK
UJ2024052,James,Van der Merwe,james.van der merwe@student.uj.ac.za,1999-04-05,2782142913,"577 Street, APB Campus",FNS,Nursing,2,2022-12-14,SUSPENDED,APB
UJ2024053,Grace,Sanchez,grace.sanchez@student.uj.ac.za,2001-04-04,2726533772,"821 Street, APK Campus",FMS,Genetics,1,2020-11-21,ACTIVE,APK
UJ2024054,Cebo,Wilson,cebo.wilson@student.uj.ac.za,2006-10-23,2755747543,"97 Street, DFC Campus",FEDU,Special Needs Education,2,2020-08-20,ACTIVE,DFC
UJ2024055,Innocent,Butler,innocent.butler@student.uj.ac.za,2004-06-06,2795929767,"78 Street, APK Campus",FCBE,Economics,1,2022-06-05,ACTIVE,APK
UJ2024056,Bonga,Smith,bonga.smith@student.uj.ac.za,2000-06-05,2772846227,"515 Street, SWC Campus",FCBE,Marketing,3,2023-10-03,ACTIVE,SWC
UJ2024057,Xola,Gonzalez,xola.gonzalez@student.uj.ac.za,1999-08-05,2732121175,"823 Street, DFC Campus",FMS,Biochemistry,3,2022-04-16,ACTIVE,DFC
UJ2024058,Nkosinathi,Butler,nkosinathi.butler@student.uj.ac.za,2000-07-08,2761698696,"231 Street, APB Campus",FCBE,Finance,3,2020-03-28,ACTIVE,APB
UJ2024059,Enoch,Robinson,enoch.robinson@student.uj.ac.za,2004-02-18,2753849643,"824 Street, APK Campus",FADA,Urban Planning,2,2020-12-17,ACTIVE,APK
UJ2024060,Zachariah,Wood,zachariah.wood@student.uj.ac.za,2001-12-25,2734307826,"679 Street, DFC Campus",FEDU,Curriculum Studies,1,2021-05-11,ACTIVE,DFC
UJ2024061,Sibusiso,Ross,sibusiso.ross@student.uj.ac.za,1999-05-07,2729538701,"896 Street, SWC Campus",FEBE,Civil Engineering,4,2022-03-27,ACTIVE,SWC
UJ2024062,Victor,Gonzales,victor.gonzales@student.uj.ac.za,2002-08-20,2748571604,"539 Street, SWC Campus",FHSS,Anthropology,4,2020-10-04,ACTIVE,SWC
UJ2024063,Andile,Harris,andile.harris@student.uj.ac.za,2002-06-01,2711142905,"998 Street, APK Campus",FMS,Biochemistry,4,2023-09-19,GRADUATED,APK
UJ2024064,Olwethu,Edwards,olwethu.edwards@student.uj.ac.za,2000-11-13,2751065485,"648 Street, DFC Campus",FADA,Interior Design,4,2021-09-23,ACTIVE,DFC
UJ2024065,Kelly,Cook,kelly.cook@student.uj.ac.za,2002-10-06,2740336032,"480 Street, APB Campus",FHES,Dentistry,2,2020-02-05,ACTIVE,APB
UJ2024066,Nkosinathi,Lee,nkosinathi.lee@student.uj.ac.za,2002-08-10,2783528865,"137 Street, DFC Campus",FEBE,Mechanical Engineering,3,2023-12-06,ACTIVE,DFC
UJ2024067,Thando,Kelly,thando.kelly@student.uj.ac.za,2005-07-07,2759693120,"735 Street, DFC Campus",FHSS,Social Work,2,2022-12-19,SUSPENDED,DFC
UJ2024068,Thabang,Sanders,thabang.sanders@student.uj.ac.za,2000-01-20,2790380385,"665 Street, DFC Campus",FEBE,Mechanical Engineering,4,2021-02-01,ACTIVE,DFC
UJ2024069,Dineo,Evans,dineo.evans@student.uj.ac.za,2006-04-21,2713043807,"176 Street, APK Campus",FEDU,Early Childhood Development,1,2020-08-07,ACTIVE,APK
UJ2024070,Faith,Alexander,faith.alexander@student.uj.ac.za,2004-09-17,2715809808,"20 Street, APK Campus",FNS,Midwifery,4,2021-11-19,ACTIVE,APK
UJ2024071,Victor,Anderson,victor.anderson@student.uj.ac.za,2003-01-04,2734965224,"991 Street, SWC Campus",FADA,Architecture,1,2020-03-09,ACTIVE,SWC
UJ2024072,Sindisiwe,Roberts,sindisiwe.roberts@student.uj.ac.za,2006-08-23,2740381435,"967 Street, APK Campus",FCBE,Accounting,4,2021-02-19,ACTIVE,APK
UJ2024073,Liyana,Lee,liyana.lee@student.uj.ac.za,2000-10-09,2793764093,"306 Street, APB Campus",FLM,Criminology,3,2021-11-01,ACTIVE,APB
UJ2024074,Qinisela,Ross,qinisela.ross@student.uj.ac.za,2002-09-26,2743401112,"895 Street, SWC Campus",FNS,Health Administration,4,2022-03-22,ACTIVE,SWC
UJ2024075,Grace,Torres,grace.torres@student.uj.ac.za,2005-05-02,2712864206,"560 Street, APK Campus",FEBE,Mechanical Engineering,4,2020-12-26,ACTIVE,APK
UJ2024076,Zukisa,Cooper,zukisa.cooper@student.uj.ac.za,2004-10-09,2769044063,"921 Street, DFC Campus",FEDU,Education,3,2020-09-16,ACTIVE,DFC
UJ2024077,Abigail,Bryant,abigail.bryant@student.uj.ac.za,2006-03-15,2727454437,"867 Street, DFC Campus",FEBE,Electrical Engineering,3,2021-09-21,ACTIVE,DFC
UJ2024078,Michael,Murphy,michael.murphy@student.uj.ac.za,2005-11-10,2741918050,"425 Street, APK Campus",FHES,Dentistry,2,2020-03-06,ACTIVE,APK
UJ2024079,Abigail,Clark,abigail.clark@student.uj.ac.za,1999-03-08,2787440632,"756 Street, APK Campus",FLM,Law,4,2020-06-14,GRADUATED,APK
UJ2024080,Queen,Washington,queen.washington@student.uj.ac.za,2006-10-15,2736259160,"314 Street, APB Campus",FLM,Legal Studies,4,2020-01-22,ACTIVE,APB
UJ2024081,William,Williams,william.williams@student.uj.ac.za,2004-01-07,2779444955,"946 Street, APB Campus",FEDU,Early Childhood Development,1,2021-01-12,ACTIVE,APB
UJ2024082,Rorisang,Lopez,rorisang.lopez@student.uj.ac.za,2005-10-25,2778208785,"929 Street, APB Campus",FLM,Forensic Science,1,2022-11-28,ACTIVE,APB
UJ2024083,Bongani,James,bongani.james@student.uj.ac.za,2000-08-06,2779775450,"52 Street, DFC Campus",FNS,Public Health,3,2023-02-07,SUSPENDED,DFC
UJ2024084,Gabisile,Richardson,gabisile.richardson@student.uj.ac.za,2001-08-25,2731993607,"283 Street, APB Campus",FHES,Medical Science,3,2023-09-09,ACTIVE,APB
UJ2024085,Yanga,Sanchez,yanga.sanchez@student.uj.ac.za,2002-06-21,2737808856,"740 Street, APB Campus",FADA,Architecture,3,2020-10-08,ACTIVE,APB
UJ2024086,Tshepo,Hill,tshepo.hill@student.uj.ac.za,1999-04-11,2716896054,"374 Street, DFC Campus",FADA,Interior Design,1,2023-02-18,ACTIVE,DFC
UJ2024087,Bonga,Carter,bonga.carter@student.uj.ac.za,1999-10-23,2771392168,"222 Street, SWC Campus",FEDU,Education,2,2020-10-21,ACTIVE,SWC
UJ2024088,Cebo,Miller,cebo.miller@student.uj.ac.za,2000-02-14,2786942540,"72 Street, DFC Campus",FADA,Fine Arts,4,2023-01-15,ACTIVE,DFC
UJ2024089,Buhle,King,buhle.king@student.uj.ac.za,1999-06-03,2788320001,"86 Street, DFC Campus",FEDU,Curriculum Studies,1,2023-08-16,ACTIVE,DFC
UJ2024090,Zukisa,Harris,zukisa.harris@student.uj.ac.za,2006-08-24,2716655791,"779 Street, APK Campus",FEBE,Chemical Engineering,4,2022-07-24,GRADUATED,APK
UJ2024091,Hlengiwe,Rogers,hlengiwe.rogers@student.uj.ac.za,2005-12-20,2719926264,"263 Street, APK Campus",FHES,Dentistry,1,2020-03-26,ACTIVE,APK
UJ2024092,Zachariah,Morris,zachariah.morris@student.uj.ac.za,2003-11-09,2752698690,"368 Street, DFC Campus",FCBE,Business Administration,4,2021-05-02,ACTIVE,DFC
UJ2024093,Qinisela,Lopez,qinisela.lopez@student.uj.ac.za,2006-07-08,2765175441,"588 Street, APB Campus",FCBE,Accounting,4,2020-12-18,GRADUATED,APB
UJ2024094,Sarah,Phillips,sarah.phillips@student.uj.ac.za,2000-10-11,2790521530,"143 Street, APB Campus",FNS,Nursing,4,2020-09-06,ACTIVE,APB
UJ2024095,Odwa,Brown,odwa.brown@student.uj.ac.za,2004-12-08,2719322928,"175 Street, APK Campus",FHES,Pharmacy,4,2022-08-09,ACTIVE,APK
UJ2024096,Thabang,Henderson,thabang.henderson@student.uj.ac.za,2003-01-08,2721474231,"699 Street, APB Campus",FADA,Urban Planning,3,2022-04-20,ACTIVE,APB
UJ2024097,Thabang,Butler,thabang.butler@student.uj.ac.za,1999-06-19,2747067716,"673 Street, SWC Campus",FEDU,Curriculum Studies,4,2021-01-18,SUSPENDED,SWC
UJ2024098,Ulandi,Allen,ulandi.allen@student.uj.ac.za,2000-09-20,2750183318,"462 Street, APK Campus",FNS,Midwifery,4,2020-05-16,GRADUATED,APK
UJ2024099,Gugu,Foster,gugu.foster@student.uj.ac.za,2005-07-23,2742063834,"446 Street, DFC Campus",FLM,Law,2,2022-02-26,ACTIVE,DFC
UJ2024100,Mpho,Coleman,mpho.coleman@student.uj.ac.za,2000-10-27,2772681423,"618 Street, APB Campus",FNS,Health Administration,4,2022-11-22,ACTIVE,APB
UJ2024101,Lucky,Hernandez,lucky.hernandez@student.uj.ac.za,1999-02-24,2773052153,"923 Street, SWC Campus",FLM,Criminology,4,2023-10-21,ACTIVE,SWC
UJ2024102,Unathi,Miller,unathi.miller@student.uj.ac.za,2006-05-12,2770361954,"157 Street, APB Campus",FMS,Microbiology,1,2022-08-26,ACTIVE,APB
UJ2024103,Jabulani,Miller,jabulani.miller@student.uj.ac.za,2000-02-26,2774799605,"202 Street, DFC Campus",FHES,Medical Science,2,2020-04-23,ACTIVE,DFC
UJ2024104,Gabisile,Mkhize,gabisile.mkhize@student.uj.ac.za,2001-05-24,2746977320,"859 Street, SWC Campus",FHES,Medical Science,2,2021-12-17,ACTIVE,SWC
UJ2024105,Catherine,Richardson,catherine.richardson@student.uj.ac.za,2001-10-02,2734386798,"832 Street, APK Campus",FEBE,Mechanical Engineering,3,2022-05-07,ACTIVE,APK
UJ2024106,Innocent,Gonzalez,innocent.gonzalez@student.uj.ac.za,2006-07-15,2790413495,"545 Street, SWC Campus",FHSS,Social Work,3,2021-06-15,ACTIVE,SWC
UJ2024107,Bhekumuzi,Coleman,bhekumuzi.coleman@student.uj.ac.za,2000-08-06,2792646925,"727 Street, APB Campus",FHSS,Anthropology,2,2020-06-01,ACTIVE,APB
UJ2024108,Celimpilo,Martinez,celimpilo.martinez@student.uj.ac.za,2005-09-18,2759582218,"376 Street, SWC Campus",FMS,Medical Science,4,2020-11-12,ACTIVE,SWC
UJ2024109,Rebecca,Howard,rebecca.howard@student.uj.ac.za,2006-08-15,2770522338,"347 Street, DFC Campus",FNS,Public Health,3,2022-09-11,ACTIVE,DFC
UJ2024110,Peter,Lee,peter.lee@student.uj.ac.za,2001-06-20,2715049506,"969 Street, APK Campus",FCBE,Marketing,1,2023-06-06,ACTIVE,APK
UJ2024111,Xola,Martin,xola.martin@student.uj.ac.za,2002-05-24,2788245947,"113 Street, APB Campus",FHSS,Political Science,3,2021-05-09,ACTIVE,APB
UJ2024112,Palesa,Hill,palesa.hill@student.uj.ac.za,2003-05-02,2796697223,"467 Street, DFC Campus",FCBE,Finance,4,2023-06-02,GRADUATED,DFC
UJ2024113,Zinhle,Barnes,zinhle.barnes@student.uj.ac.za,2002-03-03,2798342737,"370 Street, DFC Campus",FCBE,Finance,3,2022-03-24,ACTIVE,DFC
UJ2024114,David,Van der Merwe,david.van der merwe@student.uj.ac.za,2001-08-05,2753103925,"802 Street, SWC Campus",FNS,Nursing,1,2022-03-28,ACTIVE,SWC
UJ2024115,Zachariah,Hall,zachariah.hall@student.uj.ac.za,2006-07-04,2761231708,"729 Street, DFC Campus",FMS,Genetics,4,2021-03-15,ACTIVE,DFC
UJ2024116,Leroy,White,leroy.white@student.uj.ac.za,2001-02-21,2752090592,"33 Street, APK Campus",FHSS,Sociology,4,2023-06-01,ACTIVE,APK
UJ2024117,Yanga,Reed,yanga.reed@student.uj.ac.za,2001-11-23,2777765357,"43 Street, SWC Campus",FADA,Architecture,2,2020-06-17,ACTIVE,SWC
UJ2024118,Faith,Alexander,faith.alexander@student.uj.ac.za,2004-03-13,2749936236,"857 Street, APB Campus",FLM,Law,4,2022-09-20,ACTIVE,APB
UJ2024119,Bongani,Butler,bongani.butler@student.uj.ac.za,2000-05-23,2731860018,"993 Street, APK Campus",FNS,Midwifery,3,2020-10-22,ACTIVE,APK
UJ2024120,Kabo,Lee,kabo.lee@student.uj.ac.za,2004-02-05,2765649758,"218 Street, APB Campus",FEDU,Special Needs Education,2,2021-06-25,ACTIVE,APB
UJ2024121,Rebecca,Jackson,rebecca.jackson@student.uj.ac.za,2001-08-28,2796011047,"590 Street, APK Campus",FEDU,Curriculum Studies,2,2023-02-11,ACTIVE,APK
UJ2024122,Naledi,Morgan,naledi.morgan@student.uj.ac.za,2002-05-18,2711999903,"983 Street, SWC Campus",FLM,Legal Studies,2,2023-10-04,ACTIVE,SWC
UJ2024123,Hope,Sanders,hope.sanders@student.uj.ac.za,2006-10-05,2756138889,"970 Street, SWC Campus",FNS,Public Health,3,2020-02-28,ACTIVE,SWC
UJ2024124,Benjamin,Butler,benjamin.butler@student.uj.ac.za,1999-07-14,2762054822,"889 Street, APB Campus",FHES,Physiotherapy,4,2020-08-05,ACTIVE,APB
UJ2024125,Hope,Lee,hope.lee@student.uj.ac.za,2000-05-13,2753871452,"821 Street, DFC Campus",FEDU,Special Needs Education,3,2020-03-15,ACTIVE,DFC
UJ2024126,Qinisela,Butler,qinisela.butler@student.uj.ac.za,2000-09-20,2722842636,"892 Street, APB Campus",FEBE,Electrical Engineering,2,2020-05-07,ACTIVE,APB
UJ2024127,Tumelo,Alexander,tumelo.alexander@student.uj.ac.za,2003-07-24,2796068206,"306 Street, APK Campus",FEBE,Civil Engineering,1,2020-08-20,ACTIVE,APK
UJ2024128,William,Washington,william.washington@student.uj.ac.za,2004-11-25,2765462332,"581 Street, DFC Campus",FCBE,Accounting,1,2022-10-03,ACTIVE,DFC
UJ2024129,Nathan,Henderson,nathan.henderson@student.uj.ac.za,2001-08-14,2742844578,"919 Street, SWC Campus",FLM,Criminology,1,2022-11-08,ACTIVE,SWC
UJ2024130,Xolani,Barnes,xolani.barnes@student.uj.ac.za,2002-10-13,2731231299,"232 Street, APB Campus",FEBE,Computer Engineering,4,2020-07-09,ACTIVE,APB
UJ2024131,Kagiso,Hall,kagiso.hall@student.uj.ac.za,2005-08-14,2730016233,"10 Street, SWC Campus",FLM,Forensic Science,1,2023-12-27,ACTIVE,SWC
UJ2024132,Naledi,Wilson,naledi.wilson@student.uj.ac.za,2006-05-26,2754094459,"254 Street, DFC Campus",FADA,Urban Planning,2,2022-07-28,ACTIVE,DFC
UJ2024133,Andile,Stewart,andile.stewart@student.uj.ac.za,2005-07-04,2724501716,"614 Street, APK Campus",FMS,Medical Science,4,2022-03-25,GRADUATED,APK
UJ2024134,Sindisiwe,Anderson,sindisiwe.anderson@student.uj.ac.za,1999-12-07,2793379598,"462 Street, APK Campus",FHES,Medical Science,4,2022-02-10,GRADUATED,APK
UJ2024135,Phindile,Walker,phindile.walker@student.uj.ac.za,2005-06-02,2789227956,"829 Street, APK Campus",FHES,Nursing,1,2022-01-04,ACTIVE,APK
UJ2024136,Olwethu,Howard,olwethu.howard@student.uj.ac.za,2004-01-23,2715290658,"224 Street, DFC Campus",FADA,Fine Arts,1,2022-03-16,ACTIVE,DFC
UJ2024137,Christopher,Bryant,christopher.bryant@student.uj.ac.za,1999-09-24,2763678590,"69 Street, SWC Campus",FCBE,Marketing,3,2021-04-11,ACTIVE,SWC
UJ2024138,Mbali,Patterson,mbali.patterson@student.uj.ac.za,2001-03-19,2762028698,"556 Street, DFC Campus",FHES,Nursing,2,2022-10-08,ACTIVE,DFC
UJ2024139,Sarah,Jones,sarah.jones@student.uj.ac.za,2006-06-03,2710481643,"499 Street, SWC Campus",FEDU,Education,3,2021-04-10,ACTIVE,SWC
UJ2024140,Lungile,Reed,lungile.reed@student.uj.ac.za,1999-10-25,2751411690,"658 Street, APK Campus",FCBE,Marketing,3,2020-10-18,ACTIVE,APK
UJ2024141,Nkosinathi,Clark,nkosinathi.clark@student.uj.ac.za,2004-09-24,2783822577,"727 Street, APK Campus",FHES,Dentistry,2,2022-09-13,ACTIVE,APK
UJ2024142,Omphemetse,Lewis,omphemetse.lewis@student.uj.ac.za,1999-11-14,2738978130,"271 Street, SWC Campus",FEDU,Special Needs Education,3,2021-06-27,ACTIVE,SWC
UJ2024143,Kelly,Perez,kelly.perez@student.uj.ac.za,2004-01-13,2746854985,"114 Street, DFC Campus",FHES,Pharmacy,2,2021-12-10,ACTIVE,DFC
UJ2024144,Odwa,Gonzalez,odwa.gonzalez@student.uj.ac.za,2004-06-24,2727677390,"730 Street, APB Campus",FHSS,Sociology,2,2020-05-09,ACTIVE,APB
UJ2024145,Abigail,Jones,abigail.jones@student.uj.ac.za,2002-07-02,2760006849,"328 Street, APK Campus",FMS,Medical Science,1,2020-05-06,ACTIVE,APK
UJ2024146,Queen,Cooper,queen.cooper@student.uj.ac.za,2002-03-17,2743418786,"53 Street, APK Campus",FEDU,Curriculum Studies,4,2022-12-23,ACTIVE,APK
UJ2024147,Wandile,Taylor,wandile.taylor@student.uj.ac.za,2006-08-10,2717345407,"672 Street, DFC Campus",FEDU,Early Childhood Development,3,2020-04-17,ACTIVE,DFC
UJ2024148,Michael,Roberts,michael.roberts@student.uj.ac.za,2000-08-24,2714157157,"384 Street, DFC Campus",FEDU,Early Childhood Development,3,2023-12-27,ACTIVE,DFC
UJ2024149,Bonga,Lewis,bonga.lewis@student.uj.ac.za,2005-10-03,2791266010,"135 Street, SWC Campus",FHES,Physiotherapy,2,2021-08-12,ACTIVE,SWC
UJ2024150,Ursula,Bailey,ursula.bailey@student.uj.ac.za,2001-10-12,2744640317,"489 Street, DFC Campus",FEDU,Curriculum Studies,2,2020-02-10,ACTIVE,DFC
UJ2024151,Christopher,Campbell,christopher.campbell@student.uj.ac.za,2004-09-05,2792276669,"216 Street, DFC Campus",FEDU,Curriculum Studies,2,2023-08-12,ACTIVE,DFC
UJ2024152,Phindile,Howard,phindile.howard@student.uj.ac.za,1999-04-20,2724479834,"81 Street, SWC Campus",FCBE,Economics,1,2020-02-24,ACTIVE,SWC
UJ2024153,Sipho,Lee,sipho.lee@student.uj.ac.za,2003-01-16,2785640416,"190 Street, SWC Campus",FHSS,Psychology,2,2022-06-14,ACTIVE,SWC
UJ2024154,Innocent,Long,innocent.long@student.uj.ac.za,2004-12-15,2790509971,"918 Street, SWC Campus",FHSS,Social Work,4,2023-06-09,ACTIVE,SWC
